UKPRN,HE Provider,Country of HE provider,Region of HE provider,Mode of employment,Atypical marker,Academic marker,Contract marker,Academic Year,Number
10007856,Aberystwyth University,Wales,Wales,Part-time,Academic atypical,Academic,Academic,2016/17,5
10007856,Aberystwyth University,Wales,Wales,Full-time,Non-atypical,Academic,Academic,2017/18,470
10007856,Aberystwyth University,Wales,Wales,Full-time,Non-atypical,Non-academic,Non-academic,2017/18,685
10007856,Aberystwyth University,Wales,Wales,Full-time,Academic atypical,Academic,Academic,2017/18,0
10007856,Aberystwyth University,Wales,Wales,Part-time,Non-atypical,Academic,Academic,2017/18,300
10007856,Aberystwyth University,Wales,Wales,Part-time,Non-atypical,Non-academic,Non-academic,2017/18,525
10007856,Aberystwyth University,Wales,Wales,Part-time,Academic atypical,Academic,Academic,2017/18,5
10007856,Aberystwyth University,Wales,Wales,Full-time,Non-atypical,Academic,Academic,2018/19,445
10007856,Aberystwyth University,Wales,Wales,Full-time,Non-atypical,Non-academic,Non-academic,2018/19,655
10007856,Aberystwyth University,Wales,Wales,Full-time,Academic atypical,Academic,Academic,2018/19,0
10007856,Aberystwyth University,Wales,Wales,Part-time,Non-atypical,Academic,Academic,2018/19,305
10007856,Aberystwyth University,Wales,Wales,Part-time,Non-atypical,Non-academic,Non-academic,2018/19,525
10007856,Aberystwyth University,Wales,Wales,Part-time,Academic atypical,Academic,Academic,2018/19,5
10007856,Aberystwyth University,Wales,Wales,Full-time,Non-atypical,Academic,Academic,2019/20,430
10007856,Aberystwyth University,Wales,Wales,Full-time,Non-atypical,Non-academic,Non-academic,2019/20,630
10007856,Aberystwyth University,Wales,Wales,Full-time,Academic atypical,Academic,Academic,2019/20,0
10007856,Aberystwyth University,Wales,Wales,Part-time,Non-atypical,Academic,Academic,2019/20,280
10007856,Aberystwyth University,Wales,Wales,Part-time,Non-atypical,Non-academic,Non-academic,2019/20,535
10007856,Aberystwyth University,Wales,Wales,Part-time,Academic atypical,Academic,Academic,2019/20,5
10007856,Aberystwyth University,Wales,Wales,Full-time,Non-atypical,Academic,Academic,2020/21,430
10007856,Aberystwyth University,Wales,Wales,Full-time,Non-atypical,Non-academic,Non-academic,2020/21,645
10007856,Aberystwyth University,Wales,Wales,Full-time,Academic atypical,Academic,Academic,2020/21,0
10007856,Aberystwyth University,Wales,Wales,Part-time,Non-atypical,Academic,Academic,2020/21,270
10007856,Aberystwyth University,Wales,Wales,Part-time,Non-atypical,Non-academic,Non-academic,2020/21,490
